date,tittle,price,huxing,area,built,chaoxiang,leibie,loucheng,zhuangxiu
发布时间：2018年12月11日,"
      合和新城（全新笋盘）配套成熟，近地铁，户型方正，大三房南向  ",225,3室2厅2卫,97.5平方米,2015年,南北,普通住宅,中层(共13层),精装修
发布时间：2018年12月07日,"
      深航花园真 房源南向双地铁口成熟小区毛坯四房够两年单证无户口  ",295,3室2厅2卫,98.3平方米,2012年,南,普通住宅,中层(共17层),毛坯
发布时间：2018年12月17日,"
      番禺区 东海花园  精装修 东南向望江3房 仅400万  ",400,3室2厅1卫,91平方米,2003年,南北,普通住宅,中层(共22层),简单装修
发布时间：2018年12月13日,"
      深业江悦湾 中高层精装三房 装修漂亮 保养好 业主急售！  ",268,3室2厅1卫,91.8平方米,2014年,西南,普通住宅,高层(共26层),精装修
发布时间：2018年11月28日,"
      金沙洲 山海名门 炒鸡笋盘 215也卖 高层望广州 看山看水  ",220,3室2厅1卫,91.3平方米,2016年,南,普通住宅,高层(共32层),精装修
发布时间：2018年12月01日,"
      凤馨苑精致三房 公立学校就在家门口 税费少 难得的笋盘  ",196,3室2厅2卫,93平方米,2012年,北,普通住宅,低层(共18层),精装修
发布时间：2018年12月14日,"
      汇海 满2年 东南向 江景三房两卫 居住优选  ",318,3室2厅2卫,94.8平方米,2015年,东,普通住宅,高层(共26层),豪华装修
发布时间：2018年12月16日,"
      实用2加1户型 单合同 可公积金 越秀让利 即送五年管理费  ",140,3室2厅2卫,85.6平方米,2016年,南,普通住宅,中层(共31层),精装修
发布时间：2018年12月18日,"
      尚东阳光 内部认购渠道有优惠 详情请来电  ",185,2室2厅1卫,86.7平方米,2018年,南,普通住宅,共1层,精装修
发布时间：2018年12月12日,"
      招商雍景湾 配套成熟地铁口旁 单合同精装三房 可公积金贷款  ",168,3室2厅2卫,92.4平方米,2015年,南,普通住宅,中层(共32层),精装修
发布时间：2018年12月14日,"
      广州 黄埔合景天骏 四站到天河不限购 本人有内部团购渠道  ",150,3室2厅2卫,89平方米,2017年,东南,普通住宅,中层(共12层),精装修
发布时间：2018年12月11日,"
      合和新城（全新笋盘）配套成熟，近地铁，户型方正，大三房南向  ",225,3室2厅2卫,97.5平方米,2015年,南北,普通住宅,中层(共13层),精装修
发布时间：2018年12月07日,"
      深航花园真 房源南向双地铁口成熟小区毛坯四房够两年单证无户口  ",295,3室2厅2卫,98.3平方米,2012年,南,普通住宅,中层(共17层),毛坯
发布时间：2018年12月17日,"
      番禺区 东海花园  精装修 东南向望江3房 仅400万  ",400,3室2厅1卫,91平方米,2003年,南北,普通住宅,中层(共22层),简单装修
发布时间：2018年12月13日,"
      深业江悦湾 中高层精装三房 装修漂亮 保养好 业主急售！  ",268,3室2厅1卫,91.8平方米,2014年,西南,普通住宅,高层(共26层),精装修
发布时间：2018年11月28日,"
      金沙洲 山海名门 炒鸡笋盘 215也卖 高层望广州 看山看水  ",220,3室2厅1卫,91.3平方米,2016年,南,普通住宅,高层(共32层),精装修
发布时间：2018年12月01日,"
      凤馨苑精致三房 公立学校就在家门口 税费少 难得的笋盘  ",196,3室2厅2卫,93平方米,2012年,北,普通住宅,低层(共18层),精装修
发布时间：2018年12月14日,"
      汇海 满2年 东南向 江景三房两卫 居住优选  ",318,3室2厅2卫,94.8平方米,2015年,东,普通住宅,高层(共26层),豪华装修
发布时间：2018年12月08日,"
      福莱花园 高层景观三房 安静朝向 诚心出售 楼梯价格买洋房  ",410,3室2厅2卫,95平方米,2002年,东北,普通住宅,中层(共30层),简单装修
发布时间：2018年12月08日,"
      （新上房源）全新未住 房东急用钱要周转 诚心出售 万科幸福誉  ",140,3室2厅2卫,89.2平方米,2016年,南,普通住宅,中层(共31层),精装修
发布时间：2018年12月18日,"
      南向 证过两年 保养新 中高层，送家私电器急售，随时看房  ",285,3室2厅1卫,88.3平方米,2013年,东南,普通住宅,高层(共26层),精装修
发布时间：2018年12月16日,"
      瑶台花园 急售 产权清晰 配套成熟 诚心出售带车位 欢迎来电  ",178,3室2厅1卫,90平方米,2010年,南,普通住宅,中层(共9层),精装修
发布时间：2018年12月16日,"
      实价盘 地铁四百米 无需名额即可入手奥体新城 狂送5年管理费  ",345,3室2厅1卫,88.5平方米,2016年,南,普通住宅,中层(共31层),精装修
发布时间：2018年12月19日,"
      业主急售 钥匙在手 随时看房 有意给我来电 即可看房  ",120,3室3厅2卫,96平方米,1999年,南,普通住宅,中层(共6层),精装修
发布时间：2018年12月20日,"
      |诚信裕馨| 精装修 小区管理 地铁旁三小学位使用面积60方  ",70,2室1厅1卫,50平方米,1994年,南北,普通住宅,中层(共8层),精装修
发布时间：2018年12月12日,"
      刚需三房，格局方正，空气质量好，入读雅居乐小学，  ",170,3室2厅2卫,99平方米,2008年,南,普通住宅,低层(共8层),简单装修
发布时间：2018年11月06日,"
      中山四路社区 农讲所地铁旁 实用三房 61方 有匙即看  ",230,3室1厅1卫,61平方米,1990年,南,普通住宅,高层(共9层),简单装修
发布时间：2018年12月08日,"
      黄埔区大沙地 鹤林苑小区 实用小三房 户型方正 南北通透  ",220,3室2厅1卫,80平方米,1999年,东南,普通住宅,中层(共9层),精装修
发布时间：2018年11月27日,"
      首付25万，近地铁，精装2房，高楼层视野好，刚需必备  ",140,2室2厅1卫,66.4平方米,2016年,东,普通住宅,中层(共18层),精装修
发布时间：2018年12月17日,"
      云宁居 高层两房 东向望花园 装修好 业主急售 价格可议  ",210,2室2厅1卫,72平方米,1999年,东,普通住宅,高层(共9层),精装修
发布时间：2018年12月07日,"
      松涛北苑 中层南向精装两房 安静舒适拎包入住  ",158,2室1厅1卫,75平方米,1999年,南北,普通住宅,高层(共8层),精装修
发布时间：2018年12月11日,"
      |诚信裕馨|首付65万 大4房南向 花果山地铁口 电梯中层  ",245,4室2厅2卫,158平方米,2000年,南,普通住宅,中层(共9层),精装修
发布时间：2018年12月18日,"
      兴隆北路 文化公园6号线就在门口 双储物室 精致三房 市中心  ",200,3室2厅1卫,66平方米,2000年,东南,普通住宅,低层(共6层),精装修
发布时间：2018年12月01日,"
      |诚信裕馨|首付22万 步梯低层 华园小区 3房1厅 简装  ",95,3室1厅1卫,80平方米,2000年,南,普通住宅,低层(共7层),简单装修
发布时间：2018年12月02日,"
      乐意居花苑  东南向 三房两厅（即装电梯）位置安静 采光通透  ",280,3室2厅1卫,85平方米,2002年,东南,普通住宅,中层(共9层),精装修
发布时间：2018年12月09日,"
      金泽惠百氏改小三房 家庭刚需户型 两房价格购置三房！！  ",180,3室1厅1卫,75.1平方米,2012年,西,普通住宅,中层(共18层),精装修
发布时间：2018年11月20日,"
      品质小区 集贤苑 业主置换 西南向 带省级学位 钥匙在手  ",400,4室2厅2卫,117平方米,1999年,南,普通住宅,中层(共11层),精装修
发布时间：2018年12月16日,"
      永和经济开发区 三房拎包入住 轻轨站23号线地铁口 万达商圈  ",180,3室2厅2卫,98.8平方米,2015年,南,普通住宅,高层(共16层),豪华装修
发布时间：2018年12月13日,"
      广州碧桂园荔园 不限购 带装修 房产清晰 价格真实 随时带看  ",119,3室2厅2卫,82平方米,2012年,南,普通住宅,中层(共20层),精装修
发布时间：2018年12月04日,"
      丽江花丽字楼 64平2房 西南看花园 只 售 170万 急售  ",170,2室2厅1卫,64平方米,1995年,西南,普通住宅,低层(共9层),简单装修
发布时间：2018年12月07日,"
      星河湾荟心园 全新二次豪华装修 望园景 目前空置 方便看房  ",480,3室2厅2卫,122平方米,2006年,南北,普通住宅,低层(共9层),豪华装修
发布时间：2018年12月11日,"
      (现楼)业主因工作调动 要去工作地购房 接受公积金中铁建花园  ",155,3室2厅2卫,96.7平方米,2015年,南,普通住宅,中层(共31层),精装修
发布时间：2018年12月13日,"
      星河湾荟心园 120平三房两卫 南北对流  急卖490万  ",490,3室2厅2卫,147平方米,2005年,南北,普通住宅,中层(共9层),豪华装修
发布时间：2018年12月03日,"
      华南新城 南向三房 中间楼层  安静舒适 有钥匙随时看房  ",305,3室2厅2卫,108平方米,2004年,南,普通住宅,低层(共11层),精装修
发布时间：2018年12月04日,"
      水荫直街 中层安静三房,南北对流 保养好 有钥匙随时看房  ",360,3室1厅1卫,81平方米,2002年,南,普通住宅,中层(共8层),精装修
发布时间：2018年12月16日,"
      水电广场 豪装修学位房 保养新净 入学方便 近大润发  ",110,2室1厅1卫,51.7平方米,2014年,北,普通住宅,中层(共21层),豪华装修
发布时间：2018年12月17日,"
      多数人渴望 少数人拥有 带30方私家花园  ",210,2室2厅1卫,80平方米,1998年,南,普通住宅,低层(共9层),精装修
发布时间：2018年12月18日,"
      石化生活区 地铁口俩房 带省级学位  ",170,2室2厅1卫,67平方米,1995年,南,普通住宅,中层(共8层),简单装修
发布时间：2018年12月19日,"
      松涛北苑 正南向两房 望花园  诚意出售 高楼可以改复式  ",150,2室1厅1卫,62平方米,2000年,南,普通住宅,高层(共8层),精装修
发布时间：2018年12月13日,"
      春鸿居 南北通透 厅出阳台 户型方正实用 共享安华汇商圈配套  ",225,3室2厅2卫,101平方米,1999年,南北,普通住宅,中层(共9层),精装修
发布时间：2018年12月18日,"
      新收笋盘真实 28号大院安静东南向三房 厅出阳台采光好  ",162,3室1厅1卫,58平方米,1999年,南,普通住宅,中层(共9层),精装修
发布时间：2018年12月18日,"
      （碧兰轩）总价低，学位房，产权清晰，可议价，近地铁，配套齐  ",150,3室2厅1卫,95.2平方米,2006年,南,普通住宅,中层(共9层),精装修
发布时间：2018年12月06日,"
      集贤苑 房型方正通透，采光，双阳台望花园，价格实惠  ",265,3室1厅1卫,93平方米,1999年,南,普通住宅,中层(共11层),精装修
发布时间：2018年11月02日,"
      不限购地鉄口金泽豪庭 采光好视野开阔 业主换房急售  ",190,2室2厅1卫,82.7平方米,2014年,南北,普通住宅,高层(共28层),精装修
发布时间：2018年12月19日,"
      业主急降15万 云山居 精装高层两房 厅出阳台朝南 户型方正  ",225,2室2厅1卫,70平方米,2000年,南,普通住宅,高层(共6层),精装修
发布时间：2018年12月12日,"
      惠百氏 双地铁口一手房 现房 不收中间费用 不限购 内部转名  ",240,3室2厅2卫,105.6平方米,2018年,南北,普通住宅,中层(共32层),精装修
发布时间：2018年12月12日,"
      东圃客运站旁 纵横白领花园 正规两房可改三房 交通便利 急售  ",220,2室2厅1卫,73平方米,2003年,南,普通住宅,中层(共9层),简单装修
发布时间：2018年12月19日,"
      （业主诚售）丽江花园丽字楼 温馨两房 有钥匙随时可看  ",170,2室2厅1卫,64平方米,1996年,东北,普通住宅,低层(共9层),精装修
发布时间：2018年12月08日,"
      东港花园 电梯两房 精装修 近13号线地铁 带省级学位  ",253,2室2厅1卫,77平方米,2012年,南北,普通住宅,高层(共11层),精装修
发布时间：2018年11月07日,"
      凤凰城凤馨苑 16街近出入口 带所有权车位 看房有钥匙低首付  ",200,3室2厅2卫,91.9平方米,2010年,西南,普通住宅,中层(共18层),精装修
发布时间：2018年12月09日,"
      万科城市花园 地铁口三房 带大平台 实用性高 过五年少税  ",330,3室2厅1卫,97平方米,2007年,东北,普通住宅,中层(共11层),精装修
发布时间：2018年11月23日,"
      岭南新世界 精装修三房 保养好 安静户型 入读华师  ",425,3室2厅1卫,93.1平方米,2006年,北,普通住宅,高层(共11层),精装修
发布时间：2018年11月27日,"
      （内部员工价）新塘中森名苑 官湖地铁站 来电马上看房 95折  ",139,3室2厅2卫,86.4平方米,2017年,东南,普通住宅,中层(共32层),精装修
发布时间：2018年12月06日,"
      （丽景雅庭）低首付，学位房，产权清晰，周边配套成熟，地铁物业  ",100,2室2厅1卫,75平方米,2003年,南,普通住宅,中层(共9层),精装修
发布时间：2018年12月14日,"
      地铁口鱼珠港 东圃 美林精装三房 东南向 高层安静 视野开阔  ",365,3室2厅1卫,86平方米,2006年,东南,普通住宅,低层(共11层),精装修
发布时间：2018年12月10日,"
      锦丽居星城格调 实用三房 高端小区 低于市场价30万 急售  ",470,3室2厅2卫,108平方米,2005年,北,普通住宅,中层(共11层),精装修
发布时间：2018年12月12日,"
      VR视频看房 如意花园 首付36万 业主急售 95方精装三房  ",195,3室2厅1卫,95平方米,1998年,南北,普通住宅,低层(共7层),精装修
发布时间：2018年12月03日,"
      东晓南 名盘芳草轩 少有南向三房 前后望园景 带省级学位  ",408,3室2厅1卫,95平方米,2009年,南,普通住宅,中层(共11层),精装修
发布时间：2018年12月15日,"
      新塘白江地铁口 一房一厅 面积37方 首付12万买地铁口一房  ",85,1室1厅1卫,36.7平方米,2012年,南,普通住宅,中层(共22层),精装修
发布时间：2018年12月20日,"
      地铁口稀 缺3房高楼层精装修望花园带主套我上去看过确实不错  ",268,3室2厅2卫,121.9平方米,2016年,东南,普通住宅,高层(共18层),精装修
发布时间：2018年12月19日,"
      （中海联睿品） 新塘地铁口 不限购 精装修 85方三房两厅  ",178,3室2厅2卫,85平方米,2018年,东北,普通住宅,中层(共32层),精装修
发布时间：2018年12月16日,"
      三元里合益小区 豪装两房 送全屋家私 诚心出售 随时可看  ",145,2室1厅1卫,58平方米,1995年,西,普通住宅,中层(共9层),豪华装修
发布时间：2018年12月19日,"
      骏鸿花园 带省级怡园名校 精装南向三房 小区环境好 业主急卖  ",335,3室2厅1卫,99平方米,2005年,南北,普通住宅,中层(共6层),精装修
发布时间：2018年12月15日,"
      新上房源 盛世名门 13号线 白江站 中层南北对流精装两房  ",185,2室2厅1卫,76平方米,2013年,南北,普通住宅,高层(共22层),精装修
发布时间：2018年12月14日,"
      顺欣广场 总价180万，南向三房，对花园，安静居住，户型方正  ",180,3室2厅2卫,96平方米,2008年,南,普通住宅,中层(共11层),简单装修
发布时间：2018年12月02日,"
      万华花园 南向精装三房 保养新净 证满两年即买即入住  ",287,3室2厅2卫,85.6平方米,1999年,南北,普通住宅,高层(共8层),精装修
发布时间：2018年12月16日,"
      橡树园 业主忍痛割爱诚心出售此房，精装三房，环境优美，  ",296,3室2厅1卫,89.8平方米,2012年,南北,普通住宅,中层(共33层),精装修
发布时间：2018年12月05日,"
      黄埔石化大院 精装南向两房 全景看房 大型小区 带學位近地鉄  ",148,2室2厅1卫,62平方米,1986年,南,普通住宅,中层(共8层),精装修
发布时间：2018年11月29日,"
      精装三房 南北通透 满五唯一 配套齐全 近地铁  ",200,3室2厅1卫,95平方米,2010年,南北,普通住宅,中层(共18层),精装修
发布时间：2018年12月16日,"
      实景拍摄 天河棠下棠德花园 232万出售 东南向望花园3房  ",232,3室1厅1卫,73平方米,1998年,东南,普通住宅,高层(共10层),精装修
发布时间：2018年12月16日,"
      3期，不过豪宅对流正南向高层方正三房诚售钥匙在手来电即看随约  ",511,3室2厅3卫,143平方米,2005年,南北,普通住宅,高层(共9层),豪华装修
发布时间：2018年12月12日,"
      东景华庭 精装一房 特价甩卖 业主急卖  ",90,1室1厅1卫,39.3平方米,2010年,南,普通住宅,中层(共18层),精装修
发布时间：2018年12月16日,"
      天河公园 穗东花园 方正三房 教育 南北对流  ",285,3室2厅1卫,79平方米,1998年,南北,普通住宅,低层(共9层),精装修
发布时间：2018年12月17日,"
      汇海花园 带家私电器卖 房子基本未住  业主才入住一个月  ",280,3室2厅1卫,89.8平方米,2014年,南北,普通住宅,低层(共26层),精装修
发布时间：2018年12月14日,"
      业主出国 低于市价20万出售 精装3房 近地铁  带省级学位  ",283,3室2厅2卫,84平方米,2012年,南,普通住宅,中层(共28层),精装修
发布时间：2018年12月11日,"
      （单合同）央企品质 6米高复式 21号线地铁快线站上盖  ",179,3室2厅2卫,94平方米,2018年,南,普通住宅,中层(共32层),精装修
发布时间：2018年11月28日,"
      金沙洲万科四季花城 小高层电梯三房 户型方正望花园 税费少  ",260,3室2厅2卫,109.9平方米,2007年,西南,普通住宅,高层(共9层),精装修
发布时间：2018年11月29日,"
      尚东尚筑A区 送家电家私 南北通透 随时看房 可公积金  ",290,3室2厅2卫,94.1平方米,2012年,南北,普通住宅,中层(共7层),精装修
发布时间：2018年11月05日,"
      星河湾一期 首层带花园物业 经典对流大三房 来电即看  ",540,3室2厅2卫,123平方米,2002年,南,普通住宅,低层(共9层),简单装修
发布时间：2018年12月12日,"
      凤凰城凤馨苑 中间位置 现场比图片更漂亮  ",190,3室2厅2卫,93平方米,2009年,北,普通住宅,中层(共18层),精装修
发布时间：2018年12月19日,"
      塘园中路 可按揭 中楼层 装修新净 户型实用 方便看房！  ",90,3室2厅2卫,90平方米,2012年,南,普通住宅,低层(共30层),精装修
发布时间：2018年12月06日,"
      全景看房 军区16号大院 精装三房两厅 已加装电梯 读八一小  ",392,3室2厅1卫,75平方米,1998年,南北,普通住宅,中层(共8层),精装修
发布时间：2018年12月19日,"
      VR全景视频看房 劲爆出笋盘 精装修三房南向 仅售235万  ",235,3室2厅1卫,81平方米,2000年,东南,普通住宅,高层(共7层),精装修
发布时间：2018年12月12日,"
      金泽豪庭正规两房 白江地铁口小面积两房 刚需  ",130,2室2厅1卫,53平方米,2015年,北,普通住宅,低层(共32层),精装修
发布时间：2018年12月18日,"
      永福西约 省级先烈中学位 实用四房仅售298万 有钥匙即看  ",298,4室1厅1卫,98平方米,1995年,南北,普通住宅,低层(共9层),简单装修
发布时间：2018年11月30日,"
      西子湾 笋盘大甩卖 93方 三房 低于市场价 20万 出售  ",290,3室2厅2卫,93平方米,2010年,东北,普通住宅,低层(共11层),精装修
发布时间：2018年12月17日,"
      全景看房 共和南小区中层两房 框架结构低总价 读省级八一学位  ",209,2室1厅1卫,40平方米,1998年,南北,普通住宅,低层(共7层),精装修
发布时间：2018年12月06日,"
      西关笋盘 宝华路小区 温馨两房 赠送车位实用  ",120,2室0厅2卫,45平方米,2010年,东,普通住宅,中层(共9层),精装修
发布时间：2018年12月08日,"
      万科春风十里 朱村地铁口今年通地铁 南向3房总价低 预约来电  ",189,3室2厅2卫,101.8平方米,2018年,东南,普通住宅,中层(共6层),精装修
发布时间：2018年12月12日,"
      保利爱特城 85方小三房只要170万 门口有有轨电车 出行方  ",170,3室2厅1卫,84.6平方米,2015年,南,普通住宅,中层(共30层),简单装修
发布时间：2018年12月03日,"
      芳村大道西 低层三房带平台 环境安静  ",165,3室2厅1卫,63平方米,1999年,南北,普通住宅,低层(共9层),精装修
发布时间：2018年11月23日,"
      岭南新世界 C区三房 正中央 环境优美 写意人生  ",425,3室2厅1卫,93.1平方米,2006年,北,普通住宅,高层(共11层),精装修
发布时间：2018年11月29日,"
      13号地鉄口 豪进山湖珺璟 采光超好业主换房急售  ",205,2室2厅1卫,76平方米,2013年,南,普通住宅,高层(共33层),精装修
发布时间：2018年12月10日,"
      翡翠绿洲湖绣苑 豪华顶楼复式5房 全新未住 产权清晰 随时交  ",266,5室2厅2卫,95.8平方米,2014年,南,普通住宅,高层(共17层),豪华装修
发布时间：2018年12月02日,"
      720度全景看房 海龙湾 南向四房 满五年保养好 售380万  ",380,4室2厅2卫,132平方米,2005年,南,普通住宅,低层(共11层),精装修
发布时间：2018年12月10日,"
      新房源 梅花村小区 南向电梯三房 带豪华装修 入读省级学位  ",500,3室2厅1卫,70平方米,1998年,西,普通住宅,低层(共9层),精装修
发布时间：2018年12月01日,"
      雅居乐花园雅翠庭高层带主套大三房 证过五年 免个税水  ",390,3室2厅2卫,110.5平方米,2006年,西北,普通住宅,高层(共11层),简单装修
发布时间：2018年12月11日,"
      新康花园稀有一二楼复式，南向，带花园50方，拎包入住把握机会  ",248,4室2厅2卫,127平方米,2003年,南,普通住宅,低层(共6层),豪华装修
发布时间：2018年12月19日,"
      洛溪吉祥北园 地铁旁的精装大3房，首付40万，置业广州  ",190,3室2厅2卫,96.2平方米,1998年,东南,普通住宅,中层(共8层),精装修
发布时间：2018年12月09日,"
      彩虹花园 有钥匙随时看房 准备加装电梯86方三房 价钱可议  ",222,3室2厅1卫,85平方米,2000年,东南,普通住宅,中层(共8层),精装修
发布时间：2018年12月08日,"
      XI缺底层南向大三房 祥景花园 送小平台 抛售价220万  ",220,3室2厅1卫,81平方米,2000年,南,普通住宅,低层(共9层),精装修
发布时间：2018年12月16日,"
      全景新盘 大阳台 加送15平方 低楼层 3居  粤信广场  ",360,3室2厅1卫,95平方米,1998年,南,普通住宅,低层(共9层),精装修
发布时间：2018年12月10日,"
      集贤苑 全景实拍 三地铁口物业 安静望花园 培英中学学位  ",328,3室2厅2卫,117平方米,1999年,南北,普通住宅,中层(共11层),精装修
发布时间：2018年12月09日,"
      永大新城 五小学位 宽敞舒适 阳光户型 双地铁口 附送大平台  ",190,3室2厅2卫,109平方米,2008年,南北,普通住宅,低层(共9层),精装修
发布时间：2018年12月06日,"
      大学环境带泳池 龙口西 楼层南北通 急卖 随时看房 急  ",400,3室1厅1卫,80平方米,1999年,南,普通住宅,中层(共8层),精装修
发布时间：2018年11月26日,"
      保真 白天鹅花园 二房 户型正气 入住免装修 价格可协商  ",290,2室2厅1卫,76.5平方米,2003年,东北,普通住宅,高层(共9层),豪华装修
发布时间：2018年11月25日,"
      中山三路 东皋大道小区五房二厅二卫 东南北向 全天方便看房  ",495,5室2厅2卫,112平方米,1990年,东南,普通住宅,高层(共6层),精装修
发布时间：2018年11月22日,"
      逢源公寓复式两房 拎包入住 荔湾西关 长寿路上下九商圈  ",83,2室1厅1卫,46平方米,2016年,南,公寓,中层(共10层),精装修
发布时间：2018年11月23日,"
      洛湖居 精装中层三房带主套 温馨舒适望花园 近地铁带省级学位  ",300,3室2厅2卫,105平方米,2000年,南,普通住宅,中层(共7层),精装修
发布时间：2018年12月15日,"
      松涛北苑 全景实拍 近永泰地铁 户型方正 公摊少 性价比超高  ",225,3室2厅2卫,100平方米,1999年,南,普通住宅,低层(共9层),精装修
发布时间：2018年12月19日,"
      越秀 西门口光塔路 豪装准电梯 全明三房 产权清晰 拎包入住  ",248,3室2厅1卫,75平方米,1997年,东北,普通住宅,中层(共9层),豪华装修
发布时间：2018年12月19日,"
      乐意居 正规大三房 低楼层 总价 保养不错 趁早买  ",260,3室1厅1卫,83平方米,1999年,南,普通住宅,中层(共9层),精装修
发布时间：2018年11月29日,"
      金晖明园 降价业主急售 带省级学位送车位 成熟配套 随时看房  ",166,3室2厅2卫,90平方米,2012年,南北,普通住宅,中层(共6层),精装修
发布时间：2018年11月27日,"
      业主诚心售 可入户带学位 无按揭有钥匙 免费看房 方便有钥匙  ",226,3室2厅1卫,82平方米,2003年,南,普通住宅,高层(共7层),精装修
发布时间：2018年12月14日,"
      华南新城 好两房 业主急卖 欢迎前来看房 户型好 视野开阔  ",285,2室2厅1卫,84.7平方米,2006年,东北,普通住宅,中层(共15层),精装修
发布时间：2018年12月13日,"
      免装修 保利鱼珠港CBD 天虹花园 南向两房 免个税 能议价  ",230,2室2厅1卫,78平方米,2004年,西南,普通住宅,中层(共9层),精装修
发布时间：2018年11月30日,"
      骏鸿花园 带省一级怡园东名校 精装南向正规两房 首付只需三成  ",215,2室1厅1卫,71平方米,2005年,南北,普通住宅,中层(共6层),精装修
发布时间：2018年12月09日,"
      乐得花园 业主急卖 南北通透的两房 配套成熟 入读黄边小学！  ",185,2室2厅1卫,74平方米,2000年,北,普通住宅,高层(共9层),精装修
发布时间：2018年12月03日,"
      粤垦路 侨源山庄精装电梯高层大两房 南向望山空气好 看房方便  ",265,2室2厅1卫,80平方米,2003年,东南,普通住宅,高层(共10层),精装修
发布时间：2018年11月30日,"
      雅居乐天域高层3房  南向看花园 方正户型 来电随看  ",370,3室2厅1卫,98平方米,2010年,东南,普通住宅,中层(共11层),精装修
发布时间：2018年12月12日,"
      顺欣花园 加推三期一手洋房 单合同万达旁 豪华装修三房  ",220,3室2厅2卫,105.8平方米,2018年,南,普通住宅,中层(共28层),精装修
发布时间：2018年12月09日,"
      凤馨苑精致三房  中高楼层  保养好 业主诚意出售  ",200,3室2厅1卫,96平方米,2010年,北,普通住宅,中层(共11层),精装修
发布时间：2018年12月13日,"
      荔富湖畔 四站天河 地铁21号线 笋单位放出  套套便10W  ",148,3室2厅2卫,98平方米,2017年,南北,普通住宅,中层(共32层),精装修
发布时间：2018年12月11日,"
      |诚信裕馨|公园前路文化馆小区 毗邻秀全公园和近地铁站  ",115,3室2厅1卫,93平方米,1996年,南,普通住宅,中层(共8层),简单装修
发布时间：2018年12月14日,"
      保利星海花园  高层东南向 房出阳台 方正实用 通透  ",290,3室2厅1卫,99.2平方米,2011年,东南,普通住宅,高层(共24层),精装修
发布时间：2018年12月14日,"
      御金沙百变叠墅 全新未住 赠送车位 售880万  ",880,5室2厅3卫,190平方米,2014年,东南,别墅,高层(共7层),精装修
发布时间：2018年12月19日,"
      东港花园 电梯两房 交通便利 临近地铁口 随时可看房  ",253,2室2厅1卫,77平方米,2012年,南北,普通住宅,高层(共11层),精装修
发布时间：2018年12月14日,"
      真图实价 华阳本部信成小区 安静看小区使用 准电梯全明 急卖  ",550,3室1厅2卫,100平方米,1996年,东南,普通住宅,低层(共9层),精装修
发布时间：2018年12月08日,"
      天河北 华阳本部三房 全新豪华装修东南靓向 业主售。  ",450,3室1厅1卫,72.7平方米,1998年,东,普通住宅,高层(共9层),精装修
发布时间：2018年12月13日,"
      金花园北苑 全新装修，低楼层，南北对流，非炒家  ",120,3室2厅1卫,110平方米,1999年,南北,普通住宅,低层(共9层),简单装修
发布时间：2018年11月30日,"
      农讲所地铁  中山四路小区 温馨舒适三房 格局方正 明亮通透  ",280,3室1厅2卫,67.7平方米,1996年,东南,普通住宅,高层(共9层),精装修
发布时间：2018年12月17日,"
      萝岗保利香雪山126平四房南向带入户花园诚意 出售468万  ",468,4室2厅2卫,126平方米,2009年,南,普通住宅,低层(共10层),精装修
发布时间：2018年12月04日,"
      新收房源 广州碧桂园 温馨两房 满五年 看花园 保养好  ",198,2室2厅1卫,68.1平方米,2000年,南北,普通住宅,低层(共6层),精装修
发布时间：2018年11月17日,"
      广州奥林匹克花园 精装两房 看房方便 带学位 拎包入住即可  ",240,2室2厅1卫,73.2平方米,2000年,南,普通住宅,高层(共6层),精装修
发布时间：2018年12月01日,"
      海龙湾 大气三房两卫 户型大气 南北通透 东单边  笋盘出售  ",410,4室2厅2卫,134.3平方米,2006年,南,普通住宅,低层(共11层),精装修
发布时间：2018年12月09日,"
      （内部特价）增城不限购 省级学位房 地铁口 全屋智能家居  ",195,3室2厅2卫,95.6平方米,2015年,南北,普通住宅,中层(共32层),精装修
发布时间：2018年12月14日,"
      首付40万小三房 刚需急住 读公立学校地铁口 轻轨万达富士康  ",156,3室2厅2卫,89.6平方米,2015年,北,普通住宅,高层(共18层),精装修
发布时间：2018年12月19日,"
      降价降价）中铁建花园 南向三房 赠送12方 全新未住过 急急  ",172,3室2厅1卫,82.3平方米,2017年,南,普通住宅,高层(共26层),精装修
发布时间：2018年12月14日,"
      近鱼珠地铁口 望珠江 南向单位 业主置换 腾名额  ",150,3室2厅2卫,95.2平方米,2009年,南,普通住宅,中层(共9层),精装修
发布时间：2018年12月07日,"
      （VR看房）锦绣生态园 精装三房 稀 缺户型 卖一套少一套  ",228,3室2厅1卫,92平方米,2004年,东南,普通住宅,中层(共6层),精装修
发布时间：2018年12月12日,"
      业主急售 锦绣花园 满五唯一 不要社保带学位 欢迎看房有车位  ",115,3室2厅2卫,90平方米,2010年,南北,普通住宅,中层(共6层),精装修
发布时间：2018年12月14日,"
      安华汇旁春庭花园 住家精装3房 南边对流 户型采光非常好  ",218,3室2厅1卫,84平方米,1999年,南,普通住宅,低层(共9层),精装修
发布时间：2018年12月13日,"
      招商臻园 无需可购买 单价27000起 双地铁口 万达广场旁  ",378,4室2厅2卫,118平方米,2018年,南北,普通住宅,中层(共32层),精装修
发布时间：2018年12月19日,"
      北丽园 1楼带花园 可停小车 南向三房 带中心学位 随时看房  ",248,4室2厅1卫,107平方米,2000年,南北,普通住宅,低层(共7层),精装修
